Temperature,Humidity,IAQ Index,Window
21.1,54.69,28,1
24.71,51.91,35,1
23.47,55.26,50,1
22.69,50.3,33,1
21.18,47.99,49,1
20.07,50.21,20,1
23.29,51.98,49,1
20.81,55.29,34,1
20.98,59.16,44,1
24.58,51.35,27,1
20.43,56.64,23,1
23.36,45.42,37,1
20.85,59.56,21,1
22.15,51.67,22,1
23.83,52.8,28,1
23.41,49.2,47,1
24.71,55.85,38,1
22.86,47.06,39,1
23.01,55.89,33,1
22.35,57.86,32,1
22.9,53.14,40,1
20.85,52.77,49,1
24.85,53.09,28,1
20.09,50.29,24,1
22.42,58.1,20,1
22.1,58.63,29,1
24.72,49.97,35,1
20.3,49.47,29,1
21.51,59.75,22,1
23.84,52.8,37,1
21.94,54.5,33,1
20.35,53.75,24,1
22.89,48.33,26,1
22.29,58.36,33,1
20.71,46.4,47,1
24.75,53.85,49,1
24.42,50.1,41,1
23.58,55.94,27,1
23.61,52.44,21,1
21.83,54.31,20,1
24.05,59.94,35,1
24.98,45.69,21,1
24.97,50.84,30,1
21.49,46.6,43,1
23.83,52.9,50,1
23.78,55.64,43,1
24.22,45.34,47,1
23.27,48.56,33,1
24.9,50.19,35,1
21.34,46.33,28,1
22.57,59.49,24,1
23.68,49.65,25,1
21.98,52.48,24,1
22.31,53.81,24,1
21.1,58.66,33,1
24.05,45.82,31,1
23.46,59.69,21,1
24.79,45.33,48,1
21.69,57.2,43,1
22.14,59.03,26,1
24.19,47.3,42,1
23.89,54.57,41,1
20.6,50.85,48,1
23.71,54.77,29,1
20.34,53.49,41,1
21.94,58.38,48,1
23.82,59.83,45,1
22.34,55.62,39,1
21.6,55.66,29,1
21.55,45.28,24,1
22.1,53.39,41,1
24.85,58.66,40,1
23.2,59.25,30,1
24.57,59.61,36,1
24.45,47.93,30,1
23.87,49.03,45,1
22.05,54.65,26,1
21.93,51.82,42,1
20.92,54.88,40,1
21.28,53.88,42,1
22.14,52.94,26,1
22.67,46.73,35,1
21.26,53.11,34,1
22.76,55.23,20,1
24.9,48.84,20,1
23.83,46.44,20,1
20.76,53.4,38,1
24.31,56.34,40,1
22.39,54.03,29,1
22.52,58.93,41,1
22.21,55.2,36,1
20.22,51.19,26,1
23.18,56.64,28,1
23.67,52.71,38,1
22.53,46.81,26,1
20.58,48.66,33,1
24.02,50.12,35,1
24.37,49.9,23,1
21.12,55.46,39,1
23.93,50.45,22,1
22.44,56.36,27,1
21.37,48.84,48,1
22.13,47.66,38,1
23.34,47.73,45,1
24.09,46.7,43,1
20.68,45.16,26,1
20.17,48.71,22,1
20.76,45.89,20,1
21.89,52.28,20,1
23.56,59.56,22,1
23.88,53.8,34,1
20.57,46.38,33,1
23.1,47.7,35,1
24.65,53.37,24,1
22.9,49.79,32,1
21.43,52.65,21,1
20.04,53.34,41,1
23.6,56.45,28,1
22.41,49.52,28,1
24.8,55.31,33,1
21.41,51.22,40,1
23.48,51.89,29,1
21.94,51.11,30,1
21.67,49.45,45,1
21.99,53.26,33,1
24.9,50.7,23,1
23.43,54.62,32,1
24.51,56.98,37,1
20.35,45.31,45,1
23.68,49.25,31,1
20.81,47.64,35,1
22.89,49.93,24,1
23.16,51.03,35,1
20.05,45.21,38,1
22.36,59.29,33,1
20.5,51.64,43,1
21.08,52.25,35,1
23.09,51.98,44,1
24.73,58.58,50,1
20.74,51.69,46,1
21.37,56.22,27,1
24.85,53.93,27,1
22.25,56.19,46,1
21.42,46.25,24,1
20.93,58.99,32,1
21.19,59.0,22,1
22.49,57.75,30,1
21.85,48.86,23,1
23.22,47.03,44,1
22.71,54.38,27,1
20.89,59.79,45,1
22.08,58.08,37,1
20.72,53.56,37,1
21.61,53.42,22,1
21.68,50.74,25,1
20.93,45.11,31,1
20.52,53.88,41,1
22.79,52.83,45,1
24.65,46.45,25,1
24.15,59.18,31,1
21.83,51.67,47,1
22.9,47.8,35,1
24.87,56.65,49,1
23.93,47.9,21,1
20.17,47.54,34,1
23.36,59.71,30,1
22.65,48.33,31,1
20.31,53.53,35,1
20.22,49.6,27,1
23.72,57.6,33,1
24.81,54.15,26,1
21.91,53.57,40,1
21.77,55.18,44,1
23.3,47.88,38,1
21.62,47.58,38,1
24.25,45.97,41,1
21.88,54.54,39,1
21.96,47.66,44,1
20.94,52.74,36,1
24.45,58.62,25,1
22.5,46.16,41,1
23.68,57.28,36,1
22.43,55.27,32,1
24.93,48.48,36,1
21.88,51.95,47,1
20.42,56.39,43,1
21.84,45.8,39,1
21.18,48.48,48,1
23.09,53.05,42,1
23.54,54.36,28,1
24.26,52.97,48,1
24.11,55.3,23,1
21.17,56.64,22,1
20.13,54.69,37,1
21.96,47.84,50,1
24.47,51.36,35,1
24.62,54.82,47,1
20.82,45.85,39,1
23.46,55.48,39,1
22.16,59.46,45,1
20.36,56.91,45,1
24.79,58.34,21,1
22.91,55.64,31,1
21.39,48.74,28,1
24.41,51.83,20,1
22.18,54.93,30,1
23.13,47.32,28,1
22.9,59.65,25,1
23.61,57.55,50,1
23.67,50.15,49,1
21.04,52.07,36,1
24.9,56.63,44,1
24.99,45.5,44,1
23.52,55.71,34,1
22.3,50.71,22,1
22.74,53.83,44,1
24.91,46.56,32,1
21.33,59.3,21,1
20.27,57.58,31,1
21.82,59.59,50,1
20.87,56.12,45,1
24.09,56.39,37,1
21.78,45.09,40,1
22.06,56.43,24,1
22.48,47.28,23,1
22.68,58.76,28,1
20.2,55.49,23,1
22.44,55.25,42,1
22.03,50.16,31,1
24.79,58.88,28,1
20.16,53.83,43,1
22.59,53.7,31,1
24.66,48.56,35,1
20.17,53.23,44,1
22.31,59.47,38,1
20.33,57.68,31,1
22.7,52.49,45,1
24.0,55.11,40,1
23.32,45.54,40,1
22.53,49.46,25,1
22.26,47.02,23,1
24.77,58.97,22,1
20.94,58.62,43,1
23.36,52.21,50,1
20.05,49.18,31,1
23.85,48.61,48,1
22.58,59.31,39,1
20.59,52.22,22,1
20.09,52.86,45,1
21.34,56.9,37,1
21.55,51.05,38,1
20.56,53.97,27,1
24.79,53.15,37,1
20.28,50.69,37,1
22.06,59.33,41,1
24.79,56.52,38,1
21.84,45.11,37,1
21.04,46.15,27,1
24.21,54.27,34,1
24.41,47.89,48,1
23.1,51.63,45,1
22.14,51.15,40,1
22.99,58.95,44,1
20.21,45.58,48,1
24.92,47.39,45,1
24.69,59.65,45,1
23.42,50.73,35,1
20.84,48.72,36,1
23.74,51.32,41,1
22.13,49.15,37,1
21.86,46.44,24,1
22.47,51.83,20,1
22.25,56.53,46,1
23.41,59.72,50,1
20.61,47.42,44,1
22.44,50.77,33,1
23.16,57.48,38,1
24.38,55.53,35,1
22.39,58.97,38,1
20.67,50.21,23,1
24.99,57.45,40,1
23.41,50.35,30,1
24.99,58.92,25,1
21.87,58.99,21,1
21.37,53.53,36,1
22.7,59.37,41,1
24.5,59.05,42,1
22.64,50.57,20,1
20.69,47.62,25,1
24.36,46.08,45,1
21.26,57.06,46,1
23.36,48.86,27,1
22.13,55.94,37,1
23.5,51.88,24,1
24.81,57.59,32,1
21.29,46.62,35,1
20.64,57.81,41,1
22.89,45.83,21,1
22.89,45.09,47,1
24.49,47.22,36,1
23.47,58.07,33,1
24.98,49.07,33,1
20.82,57.17,32,1
23.26,49.82,46,1
24.36,46.81,42,1
23.71,49.11,39,1
23.75,45.4,43,1
23.24,51.88,44,1
22.85,45.65,25,1
23.58,47.27,39,1
23.07,46.73,40,1
20.08,56.5,42,1
23.76,45.51,26,1
24.15,57.71,37,1
22.59,46.94,36,1
20.67,49.66,22,1
20.87,46.36,28,1
24.78,57.1,45,1
23.55,48.22,23,1
20.66,59.5,31,1
20.72,56.12,30,1
24.05,57.08,34,1
23.03,52.47,31,1
20.79,49.13,49,1
23.04,54.68,42,1
20.52,47.7,27,1
23.14,50.92,30,1
24.58,46.05,46,1
21.45,58.45,20,1
24.92,45.66,31,1
23.43,55.92,44,1
24.87,46.14,36,1
22.18,55.9,48,1
21.4,49.99,41,1
21.62,50.55,31,1
23.29,45.97,46,1
22.93,55.35,23,1
20.84,45.74,20,1
23.64,48.19,40,1
20.06,54.44,43,1
24.6,48.66,44,1
24.08,51.45,22,1
22.14,58.1,44,1
21.79,48.7,35,1
23.52,58.07,30,1
20.47,48.56,23,1
24.12,55.09,40,1
21.92,50.3,25,1
24.58,54.98,24,1
20.59,45.12,34,1
21.53,58.59,46,1
23.52,56.8,29,1
24.56,54.06,45,1
20.89,52.14,44,1
23.0,49.58,35,1
24.13,47.13,37,1
24.09,48.46,34,1
21.24,59.51,27,1
22.03,56.89,30,1
20.78,51.4,38,1
20.35,51.1,20,1
21.71,53.79,28,1
23.45,50.59,21,1
24.66,50.01,43,1
23.7,54.6,39,1
21.09,55.17,31,1
21.4,47.99,41,1
23.37,50.43,33,1
21.7,56.34,43,1
20.43,48.67,38,1
22.38,45.92,46,1
22.02,52.37,38,1
21.93,58.67,44,1
22.38,51.2,24,1
21.39,55.03,41,1
20.11,47.06,50,1
20.62,56.49,34,1
24.54,48.6,40,1
24.35,51.48,23,1
24.14,50.26,34,1
22.5,46.57,30,1
22.25,47.19,33,1
20.5,54.68,32,1
23.69,45.67,29,1
23.75,53.63,49,1
24.99,52.13,21,1
20.25,52.19,38,1
21.26,50.02,25,1
22.0,58.28,34,1
20.07,49.24,41,1
23.76,55.28,39,1
24.94,55.6,50,1
23.0,46.25,50,1
22.64,55.3,44,1
22.25,53.94,28,1
23.15,58.83,31,1
22.85,58.7,46,1
21.69,45.66,43,1
24.57,46.77,50,1
24.06,53.35,38,1
24.54,51.71,24,1
23.66,53.68,48,1
24.38,55.43,31,1
22.24,58.91,35,1
23.17,48.24,28,1
23.7,55.69,40,1
21.99,49.12,35,1
24.09,58.68,27,1
21.73,48.48,29,1
22.63,49.24,26,1
23.59,57.24,44,1
22.0,52.96,39,1
20.84,45.91,49,1
21.04,53.01,38,1
23.6,58.76,25,1
21.11,51.96,44,1
23.03,59.95,25,1
20.04,51.37,39,1
24.01,48.98,29,1
22.17,57.73,20,1
22.44,48.02,24,1
22.93,55.73,34,1
24.58,54.16,26,1
21.04,55.04,43,1
21.56,57.38,39,1
20.79,58.96,20,1
23.91,55.99,49,1
23.28,45.44,29,1
23.46,57.04,33,1
21.7,48.71,47,1
23.16,51.33,31,1
22.28,54.68,41,1
23.55,50.27,41,1
22.31,56.86,28,1
21.25,49.44,20,1
23.28,49.29,48,1
20.41,52.52,44,1
22.91,46.46,50,1
20.84,48.64,26,1
20.97,54.14,20,1
21.81,48.64,25,1
23.1,51.92,45,1
22.68,45.18,29,1
21.75,46.22,28,1
24.07,47.84,28,1
24.5,45.04,39,1
24.23,58.86,28,1
20.9,48.64,50,1
21.61,50.05,38,1
20.62,53.46,29,1
21.55,47.2,34,1
24.81,49.33,22,1
22.05,45.67,32,1
24.51,57.6,44,1
20.67,47.87,34,1
23.52,58.75,46,1
21.06,49.87,33,1
21.26,53.11,33,1
21.63,51.53,27,1
23.11,51.48,27,1
21.37,59.87,39,1
22.07,56.83,27,1
21.71,56.77,27,1
24.96,47.91,35,1
22.75,57.75,35,1
24.25,45.05,23,1
20.14,48.71,48,1
20.42,56.48,30,1
23.07,50.58,44,1
22.94,46.78,38,1
24.73,49.88,31,1
21.53,53.33,30,1
22.85,46.62,30,1
21.7,52.17,29,1
23.48,50.53,48,1
22.74,56.9,21,1
20.39,49.78,39,1
24.97,47.18,22,1
24.3,50.64,32,1
24.83,57.65,40,1
24.01,45.43,50,1
22.49,53.46,24,1
23.67,59.68,45,1
22.78,54.96,23,1
23.62,56.52,48,1
22.87,55.82,48,1
21.26,56.34,38,1
20.76,48.0,34,1
23.27,54.38,43,1
23.94,50.35,30,1
22.37,53.98,22,1
22.58,58.06,49,1
22.97,51.42,49,1
23.33,49.66,48,1
23.19,52.59,44,1
23.24,46.34,44,1
23.82,46.38,43,1
23.35,53.23,43,1
20.8,58.29,29,1
20.68,51.19,27,1
24.31,54.38,21,1
22.33,50.27,39,1
24.59,50.22,22,1
21.87,48.22,45,1
23.09,54.79,49,1
24.0,51.13,23,1
20.64,56.54,44,1
22.85,50.77,32,1
24.1,55.96,22,1
23.89,56.41,47,1
21.85,46.79,50,1
23.29,56.12,22,1
22.02,57.95,30,1
22.13,52.12,24,1
23.7,58.78,47,1
23.6,56.01,30,1
22.65,46.73,23,1
22.16,50.89,25,1
23.38,46.44,24,1
21.75,46.65,47,1
20.72,56.31,33,1
24.61,59.31,43,1
23.69,49.99,33,1
24.55,57.71,38,1
20.03,57.09,20,1
21.22,55.89,43,1
21.77,48.85,36,1
20.96,52.38,37,1
24.27,50.65,40,1
24.37,58.23,40,1
20.57,48.67,40,1
23.52,57.33,36,1
20.35,57.09,41,1
24.46,45.18,25,1
20.59,47.48,46,1
21.68,49.41,36,1
23.63,46.56,31,1
21.2,47.05,48,1
23.0,50.81,41,1
23.35,46.01,23,1
20.09,50.09,50,1
20.37,53.04,26,1
23.86,56.14,48,1
23.99,57.22,30,1
20.26,51.85,32,1
21.82,55.13,44,1
24.54,45.36,49,1
23.94,49.6,50,1
23.25,58.91,35,1
23.69,47.09,24,1
20.81,47.4,29,1
22.19,51.42,28,1
24.41,54.1,45,1
22.69,59.28,22,1
22.59,56.32,37,1
21.19,51.93,23,1
23.38,57.48,38,1
21.11,48.26,38,1
22.41,51.88,21,1
24.7,55.64,38,1
20.33,58.87,22,1
24.62,51.86,20,1
21.38,51.99,25,1
23.5,50.55,41,1
20.57,52.55,21,1
20.41,59.68,35,1
23.43,49.29,39,1
20.79,51.16,41,1
20.76,59.05,47,1
23.45,56.26,45,1
22.08,49.81,28,1
22.08,48.93,27,1
23.75,45.1,45,1
21.19,47.02,45,1
22.82,56.48,34,1
22.9,55.48,28,1
22.32,53.11,23,1
22.6,56.67,25,1
23.12,57.49,33,1
21.01,46.04,38,1
21.18,45.11,20,1
23.73,46.37,38,1
22.7,50.65,21,1
22.66,47.64,26,1
22.84,50.34,41,1
23.74,50.58,32,1
20.85,55.1,42,1
20.39,54.98,20,1
24.92,52.91,43,1
24.75,59.79,27,1
23.69,55.79,43,1
23.84,58.88,43,1
20.39,52.12,47,1
24.09,51.24,21,1
20.75,53.77,32,1
20.98,46.27,21,1
23.75,51.39,47,1
20.02,53.33,36,1
21.52,59.57,24,1
23.07,54.06,36,1
21.8,45.12,25,1
24.26,58.87,42,1
24.3,49.64,22,1
24.04,54.15,48,1
22.2,51.78,29,1
23.62,58.38,31,1
24.96,58.99,23,1
23.46,53.08,33,1
21.61,57.59,39,1
20.19,45.11,48,1
22.18,57.78,29,1
24.53,55.32,30,1
22.99,50.25,50,1
21.06,52.09,20,1
21.92,54.25,23,1
23.65,57.16,21,1
23.75,50.48,21,1
